Bots,Sensor,CommRange,Disable,FCD
50,0.99,0.35,10,[0.07455125 0.04388875 0.03122499 0.01842779]
50,0.99,0.35,15,[0.05851439 0.04603748 0.0312404  0.02173842]
50,0.99,0.35,16,[0.05156842 0.04612269 0.03396182 0.02489888]
50,0.99,0.35,17,[0.07248424 0.04927685 0.02777316 0.02022724]
50,0.99,0.35,18,[0.07631738 0.04659861 0.01643722 0.01333984]
50,0.99,0.35,19,[0.05994938 0.04714791 0.03533687 0.03580816]
50,0.99,0.35,20,[0.07222909 0.0446247  0.03435472 0.02506782]
50,0.99,0.35,21,[0.06661096 0.04223001 0.04209152 0.02780071]
50,0.99,0.35,22,[0.08319099 0.03457689 0.03292695 0.01995607]
50,0.99,0.35,23,[0.06304174 0.04615019 0.03268689 0.00923865]
50,0.99,0.35,24,[0.08803769 0.05583762 0.02367471 0.01743786]
50,0.99,0.65,0,[0.03649049 0.02407396 0.         0.00359011]
50,0.99,0.65,10,[0.03651332 0.01902119 0.00931695 0.0062361 ]
50,0.99,0.65,15,[0.03710391 0.01906273 0.01064778 0.00512865]
50,0.99,0.65,16,[0.04696117 0.01820706 0.00733664 0.00733664]
50,0.99,0.65,17,[0.04724804 0.01644939 0.01293559 0.00543955]
50,0.99,0.65,18,[0.02436374 0.01528712 0.00560955 0.00779512]
50,0.99,0.65,19,[0.03179567 0.01643824 0.01609312 0.02107084]
50,0.99,0.65,20,[0.03301778 0.01754858 0.01511273 0.00598346]
50,0.99,0.65,21,[0.03818405 0.0250618  0.00618989 0.0103449 ]
50,0.99,0.65,22,[0.04111333 0.018163   0.01524556 0.00890864]
50,0.99,0.65,23,[0.04749283 0.0163341  0.02358636 0.00664834]
50,0.99,0.65,24,[0.02610465 0.03192284 0.02006728 0.        ]
